"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.01,-3.148,-6.084
0.02,-3.148,-6.084
0.03,-3.139,-6.084
0.04,-3.139,-6.084
0.05,-3.139,-6.084
0.06,-3.145,-6.084
0.07,-3.145,-6.084
0.08,-3.145,-6.084
0.09,-3.148,-6.084
0.10,-3.145,-6.084
0.11,-3.142,-6.084
0.12,-3.142,-6.084
0.13,-3.142,-6.084
0.14,-3.145,-6.084
0.15,-3.157,-6.084
0.16,-3.160,-6.084
0.17,-3.160,-6.084
0.18,-3.154,-6.084
0.19,-3.148,-6.084
0.20,-3.142,-6.084
0.21,-3.142,-6.084
0.22,-3.142,-6.084
0.23,-3.145,-6.084
0.24,-3.148,-6.084
0.25,-3.142,-6.084
0.26,-3.139,-6.084
0.27,-3.142,-6.084
0.28,-3.142,-6.084
0.29,-3.142,-6.084
0.30,-3.145,-6.084
0.31,-3.151,-6.084
0.32,-3.145,-6.084
0.33,-3.142,-6.084
0.34,-3.145,-6.084
0.35,-3.151,-6.084
0.36,-3.151,-6.084
0.37,-3.160,-6.084
0.38,-3.157,-6.084
0.39,-3.154,-6.084
0.40,-3.142,-6.084
0.41,-3.142,-6.084
0.42,-3.142,-6.084
0.43,-3.142,-6.084
0.44,-3.145,-6.084
0.45,-3.148,-6.084
0.46,-3.148,-6.084
0.47,-3.142,-6.084
0.48,-3.142,-6.084
0.49,-3.142,-6.084
0.50,-3.142,-6.084
0.51,-3.145,-6.084
0.52,-3.145,-6.084
0.53,-3.148,-6.084
0.54,-3.145,-6.084
0.55,-3.145,-6.084
0.56,-3.151,-6.084
0.57,-3.151,-6.084
0.58,-3.160,-6.084
0.59,-3.154,-6.084
0.60,-3.148,-6.084
0.61,-3.148,-6.084
0.62,-3.142,-6.084
0.63,-3.142,-6.084
0.64,-3.142,-6.084
0.65,-3.142,-6.084
0.66,-3.145,-6.084
0.67,-3.145,-6.084
0.68,-3.148,-6.084
0.69,-3.139,-6.084
0.70,-3.142,-6.084
0.71,-3.142,-6.084
0.72,-3.145,-6.084
0.73,-3.145,-6.084
0.74,-3.145,-6.084
0.75,-3.154,-6.084
0.76,-3.145,-6.084
0.77,-3.154,-6.084
0.78,-3.154,-6.084
0.79,-3.157,-6.084
0.80,-3.157,-6.084
0.81,-3.148,-6.084
0.82,-3.148,-6.084
0.83,-3.145,-6.084
0.84,-3.139,-6.084
0.85,-3.142,-6.084
0.86,-3.142,-6.084
0.87,-3.142,-6.084
0.88,-3.145,-6.084
0.89,-3.151,-6.084
0.90,-3.151,-6.084
0.91,-3.142,-6.084
0.92,-3.142,-6.084
0.93,-3.142,-6.084
0.94,-3.148,-6.084
0.95,-3.145,-6.084
0.96,-3.151,-6.084
0.97,-3.151,-6.084
0.98,-3.145,-6.084
0.99,-3.145,-6.084
1.00,-3.151,-6.084
1.01,-3.154,-6.084
1.02,-3.160,-6.084
1.03,-3.157,-6.084
1.04,-3.151,-6.084
1.05,-3.142,-6.084
1.06,-3.142,-6.084
1.07,-3.142,-6.084
1.08,-3.142,-6.084
1.09,-3.145,-6.084
1.10,-3.148,-6.084
1.11,-3.148,-6.084
1.12,-3.139,-6.084
1.13,-3.142,-6.084
1.14,-3.142,-6.084
1.15,-3.145,-6.084
1.16,-3.145,-6.084
1.17,-3.145,-6.084
1.18,-3.148,-6.084
1.19,-3.142,-6.084
1.20,-3.142,-6.084
1.21,-3.142,-6.084
1.22,-3.145,-6.084
1.23,-3.157,-6.084
1.24,-3.160,-6.084
1.25,-3.172,-6.084
1.26,-3.157,-6.084
1.27,-3.151,-6.084
1.28,-3.145,-6.084
1.29,-3.142,-6.084
1.30,-3.142,-6.084
1.31,-3.145,-6.084
1.32,-3.148,-6.084
1.33,-3.142,-6.084
1.34,-3.142,-6.084
1.35,-3.142,-6.084
1.36,-3.142,-6.084
1.37,-3.145,-6.084
1.38,-3.148,-6.084
1.39,-3.151,-6.084
1.40,-3.145,-6.084
1.41,-3.142,-6.084
1.42,-3.142,-6.084
1.43,-3.145,-6.084
1.44,-3.145,-6.084
1.45,-3.145,-6.084
1.46,-3.157,-6.084
1.47,-3.157,-6.084
1.48,-3.154,-6.084
1.49,-3.154,-6.084
1.50,-3.160,-6.084
1.51,-3.154,-6.084
1.52,-3.148,-6.084
1.53,-3.151,-6.084
1.54,-3.145,-6.084
1.55,-3.142,-6.084
1.56,-3.145,-6.084
1.57,-3.145,-6.084
1.58,-3.145,-6.084
1.59,-3.145,-6.084
1.60,-3.151,-6.084
1.61,-3.145,-6.084
1.62,-3.145,-6.084
1.63,-3.145,-6.084
1.64,-3.145,-6.084
1.65,-3.148,-6.084
1.66,-3.148,-6.084
1.67,-3.154,-6.084
1.68,-3.151,-6.084
1.69,-3.145,-6.084
1.70,-3.145,-6.084
1.71,-3.145,-6.084
1.72,-3.157,-6.084
1.73,-3.160,-6.084
1.74,-3.172,-6.084
1.75,-3.163,-6.084
1.76,-3.154,-6.084
1.77,-3.148,-6.084
1.78,-3.145,-6.084
1.79,-3.145,-6.084
1.80,-3.145,-6.084
1.81,-3.151,-6.084
1.82,-3.145,-6.084
1.83,-3.142,-6.084
1.84,-3.142,-6.084
1.85,-3.145,-6.084
1.86,-3.148,-6.084
1.87,-3.148,-6.084
1.88,-3.151,-6.084
1.89,-3.145,-6.084
1.90,-3.145,-6.084
1.91,-3.145,-6.084
1.92,-3.145,-6.084
1.93,-3.148,-6.084
1.94,-3.148,-6.084
1.95,-3.154,-6.084
1.96,-3.145,-6.084
1.97,-3.145,-6.084
1.98,-3.157,-6.084
1.99,-3.154,-6.084
2.00,-3.160,-6.084
2.01,-3.160,-6.084
2.02,-3.160,-6.084
2.03,-3.145,-6.084
2.04,-3.142,-6.084
2.05,-3.142,-6.084
2.06,-3.145,-6.084
2.07,-3.145,-6.084
2.08,-3.148,-6.084
2.09,-3.151,-6.084
2.10,-3.142,-6.084
2.11,-3.145,-6.084
2.12,-3.145,-6.084
2.13,-3.145,-6.084
2.14,-3.148,-6.084
2.15,-3.151,-6.084
2.16,-3.154,-6.084
2.17,-3.145,-6.084
2.18,-3.145,-6.084
2.19,-3.148,-6.084
2.20,-3.145,-6.084
2.21,-3.148,-6.084
2.22,-3.151,-6.084
2.23,-3.157,-6.084
2.24,-3.157,-6.084
2.25,-3.160,-6.084
2.26,-3.160,-6.084
2.27,-3.160,-6.084
2.28,-3.160,-6.084
2.29,-3.160,-6.084
2.30,-3.145,-6.084
2.31,-3.145,-6.084
2.32,-3.145,-6.084
2.33,-3.145,-6.084
2.34,-3.145,-6.084
2.35,-3.148,-6.084
2.36,-3.154,-6.084
2.37,-3.145,-6.084
2.38,-3.145,-6.084
2.39,-3.145,-6.084
2.40,-3.145,-6.084
2.41,-3.148,-6.084
